회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
삼익악기,2450,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",1988-09-30,12월,"김종섭, 이형국",http://www.samick.co.kr,충청북도
화성산업,2460,건물 건설업,아파트 건설,1988-09-29,12월,"이홍중,이종원",http://www.hwasung.com,대구광역시
디티알오토모티브,7340,일차전지 및 축전지 제조업,자동차용 밧데리,1988-09-24,12월,김상헌 김원종,http://www.x-probattery.co.kr,울산광역시
보해양조,890,알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",1988-09-23,12월,"임지선, 조영석",http://www.bohae.co.kr,전라남도
상상인증권,1290,금융 지원 서비스업,유가증권 매매,1988-09-23,12월,이명수,http://www.sangsanginib.com,서울특별시
혜인,3010,기계장비 및 관련 물품 도매업,"건설기계,산업용 기계장비(진공흡인차,세정차),스테거크레인,비상용발전기,해상용엔진 도소매/창고",1988-09-20,12월,원경희,http://www.haein.com,서울특별시
금강공업,14280,1차 철강 제조업,"건설가설재,강관,거푸집 제조,판매",1988-09-10,12월,"전장열, 이범호 (각자 대표이사)",http://www.kumkangkind.com,부산광역시
엔케이물산,9810,기타 전문 도매업,유연성 산업용 포장재(FIBC) 제조 판매,1988-08-31,12월,김성곤,http://nk-ms.com,서울특별시
율촌화학,8730,플라스틱제품 제조업,"연포장재,필름,골판지상자,합성수지,플라스틱일반성형제품 제조",1988-08-30,12월,"송녹정,신동윤",http://www.youlchon.com,서울특별시
신원,9270,봉제의복 제조업,"여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행 및 임대사업",1988-08-24,12월,박정주,http://www.sw.co.kr,서울특별시
동방,4140,기타 운송관련 서비스업,"육상운송,해상운송,항만화물하역,보관,창고,물류사업",1988-08-10,12월,"김형곤, 성경민",http://www.dongbang.co.kr,서울특별시
한국쉘석유,2960,석유 정제품 제조업,"윤활유,그리스 제조,도매",1988-08-10,12월,강진원,http://www.shell.co.kr,부산광역시
부광약품,3000,의약품 제조업,"의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조",1988-08-05,12월,유희원,http://www.bukwang.co.kr,서울특별시
풍산홀딩스,5810,기타 금융업,"동판제,대,관,봉,선,소전,동파이프 제조,도매,무역",1988-07-28,12월,"류진, 최한명",http://www.poongsan.co.kr,인천광역시
부국증권,1270,금융 지원 서비스업,"유가증권 매매,위탁매매,인수,주선",1988-07-19,12월,박현철,http://www.bookook.co.kr,서울특별시
계양전기,12200,일반 목적용 기계 제조업,"전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조",1988-07-06,12월,정한수,http://www.keyang.co.kr,서울특별시
한솔테크닉스,4710,전자부품 제조업,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",1988-07-06,12월,박현순,http://www.hansoltechnics.com,서울특별시
동성화학,5190,기초 화학물질 제조업,"화합물,화학제품(폴리우레탄수지,접착제,표면처리제,특수도료,폴리올) 제조",1988-07-01,12월,이경석,http://www.dschem.co.kr,부산광역시
DB금융투자,16610,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,고원종,http://db-fi.com,서울특별시
한미사이언스,8930,기타 금융업,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",1988-06-20,12월,임종윤,http://www.hanmiscience.co.kr,경기도
삼진제약,5500,의약품 제조업,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",1988-06-18,12월,"최승주, 조의환, 장홍순, 최용주",http://www.samjinpharm.co.kr,서울특별시
포스코,5490,1차 철강 제조업,"열연코일,냉연강판,후판,선재,스테인리스 제조",1988-06-10,12월,"대표이사 회장 최정우, 대표이사 사장 장인화",http://www.posco.co.kr,경상북도
범양건영,2410,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",1988-05-25,12월,"강병주, 이동주 (각자대표)",http://www.iby.co.kr,부산광역시
파미셀,5690,기초 의약물질 및 생물학적 제제 제조업,"줄기세포치료제,화장품",1988-05-20,12월,김현수,http://www.pharmicell.com,서울특별시
동국제강,1230,1차 철강 제조업,"후판,철근,강판,형강,앵글,찬넬,평철 제조,판매",1988-05-09,12월,"장세욱, 김연극",http://www.dongkuk.co.kr,서울특별시
대원전선,6340,절연선 및 케이블 제조업,"전선,통신케이블,무선통신장비,합성수지 제조,도매/부동산 매매,임대",1988-05-04,12월,서명환,http://www.daewoncable.co.kr,충청남도
이수화학,5950,기초 화학물질 제조업,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",1988-04-28,12월,류승호,http://www.isuchemical.co.kr,서울특별시
삼성증권,16360,금융 지원 서비스업,"유가증권의 매매,위탁매매,인수주선",1988-03-28,12월,장석훈,http://www.samsungpop.com,서울특별시
삼영무역,2810,기타 전문 도매업,"화공약품, 안경렌즈",1988-03-28,12월,이승용,http://www.samyung.co.kr,서울특별시
한양증권,1750,금융 지원 서비스업,증권업,1988-03-04,12월,임재택,http://www.hygood.co.kr,서울특별시
금호석유화학,11780,기초 화학물질 제조업,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",1988-01-22,12월,"박찬구, 문동준",http://www.kkpc.com,서울특별시
유안타증권,3470,금융 지원 서비스업,"유가증권 매매,중개,대리,인수",1988-01-21,12월,궈밍쩡,http://www.yuantakorea.com,서울특별시
제일파마홀딩스,2620,회사 본부 및 경영 컨설팅 서비스업,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",1988-01-20,12월,한상철,http://www.jeilpharm.co.kr,서울특별시
에이엔피,15260,전자부품 제조업,"전자부품(인쇄회로기판),무정전 전원공급장치 제조",1988-01-18,12월,전운관,http://anpcb.co.kr,경기도
한창제지,9460,"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입",1987-12-23,12월,김길수,http://www.hcpaper.co.kr,경상남도
넥센,5720,고무제품 제조업,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입",1987-12-19,12월,"강병중, 강호찬, 배중열",http://www.nexencorp.co.kr,경상남도
삼성공조,6660,자동차 신품 부품 제조업,"자동차부품(라디에터,오일쿨러,인터쿨러) 제조,판매",1987-11-28,12월,고호곤,http://www.samsungcc.co.kr,경상남도
세방전지,4490,일차전지 및 축전지 제조업,"자동차용 및 산업용 축전지(연축전지) 제조,판매",1987-11-28,12월,"대표이사 원성연, 대표이사 차주호",http://www.gbattery.com,서울특별시
진원생명과학,11000,의약품 제조업,"의류용심지(인터론),가공직물(패브론) 제조,도소매",1987-11-16,12월,박영근,http://www.genels.com,서울특별시
참엔지니어링,9310,특수 목적용 기계 제조업,FPD Laser Repair 장비 등 (FPD 장비의 개발과 제조 및 판매),1987-11-12,12월,김규동,http://www.charmeng.com,경기도
한국프랜지공업,10100,자동차 신품 부품 제조업,"자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조",1987-10-02,12월,손진현,http://www.kofco.com,울산광역시
코스모신소재,5070,기타 화학제품 제조업,"이차전지양극활물질,기능성필름",1987-09-28,12월,홍동환,http://www.cosmoamt.com,충청북도
덕성,4830,플라스틱제품 제조업,"플라스틱레쟈,합성수지,합성피혁 제조,도매",1987-09-25,12월,이봉근,http://www.duksung21.com,경기도
신영증권,1720,금융 지원 서비스업,증권업,1987-08-24,03월,"원종석, 신요환",http://www.shinyoung.com,서울특별시
유진증권,1200,금융 지원 서비스업,"유가증권 매매,중개,인수",1987-08-24,12월,유창수 대표이사,http://www.eugenefn.com,서울특별시
유화증권,3460,금융 지원 서비스업,증권업,1987-08-24,12월,윤경립,http://www.yhs.co.kr,서울특별시
한신기계공업,11700,일반 목적용 기계 제조업,"공기압축기,공구류 제조,판매/오파",1987-07-24,12월,최영민,http://www.hanshin.co.kr,경기도
코스모화학,5420,기타 화학제품 제조업,"이산화티타늄 및 부산물, 황산코발트 및 부산물",1987-07-23,12월,함재경,http://www.cosmochem.co.kr,서울특별시
가온전선,500,절연선 및 케이블 제조업,"전력선,통신케이블 제조,도매,수출입",1987-06-08,12월,윤재인,http://www.gaoncable.com,경기도
S-Oil,10950,석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",1987-05-27,12월,Hussain A.Al-Qahtani,http://www.s-oil.com,서울특별시
한화에어로스페이스,12450,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업",1987-05-27,12월,Shin Hyun Woo,http://www.hanwhaaerospace.co.kr/,경상남도
삼화전자공업,11230,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",1987-05-25,12월,"오영주, 이건화",http://www.samwha.co.kr,경기도
현대제철,4020,1차 철강 제조업,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",1987-05-23,12월,안동일,http://www.hyundai-steel.com,인천광역시
써니전자,4770,반도체 제조업,"수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입",1987-04-22,12월,차상권,http://www.sunny.co.kr,충청북도
현대비앤지스틸,4560,1차 철강 제조업,"스텐레스냉연강판,특수강 제조",1987-03-24,12월,- 정일선,http://www.hyundai-bngsteel.com,경상남도
사조오양,6090,수산물 가공 및 저장 처리업,"원양어업/수산물가공(게맛살) 제조,수출입/냉동 및 냉장보관/부동산 임대",1986-12-24,12월,정태식,http://www.sajooy.com,서울특별시
한화투자증권,3530,금융 지원 서비스업,"유가증권 위탁매매,자기매매,인수주선",1986-11-25,12월,권희백,http://www.koreastock.co.kr,서울특별시
삼화전기,9470,전자부품 제조업,"콘덴서 제조,판매",1986-11-24,12월,"오영주, 박종온",http://www.samwha.co.kr,충청북도
SK증권,1510,금융 지원 서비스업,"증권업,부동산 임대",1986-09-20,12월,김 신,http://www.sks.co.kr,서울특별시
평화홀딩스,10770,자동차 신품 부품 제조업,지주회사,1986-03-31,12월,"김종석, 김동관",http://www.phhc.co.kr,대구광역시
일신석재,7110,"건축자재, 철물 및 난방장치 도매업","건축석 제조,도소매/석공예,석공사",1986-03-04,12월,김학선,http://www.ilshinstone.co.kr,서울특별시
KG동부제철,16380,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",1986-02-03,12월,이세철,http://www.kgdongbusteel.co.kr,서울특별시
아이에스동서,10780,"내화, 비내화 요업제품 제조업","타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",1986-01-27,12월,권민석,http://www.isdongseo.co.kr,서울특별시
SH에너지화학,2360,기초 화학물질 제조업,"합성수지(PS/EPS,ABS수지) 제조",1985-12-23,12월,정케빈규봉,http://www.sh-enerchem.com,전라북도
대한화섬,3830,화학섬유 제조업,"화학섬유원사(FY,PTY,S.FIBER)제조",1985-12-23,12월,김형생,http://www.daehansf.co.kr,서울특별시
코리아써키트,7810,전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",1985-09-09,12월,장세준,http://www.kcg.co.kr,경기도
신세계,4170,종합 소매업,"백화점,할인점(E마트)",1985-08-19,12월,차정호,http://www.shinsegae.com,서울특별시
OCI,10060,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",1985-07-09,12월,"백우석, 이우현, 김택중(3인, 각자 대표이사)",http://www.oci.co.kr,서울특별시
삼일제약,520,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",1985-05-29,12월,"허강, 허승범(각자대표)",http://www.samil-pharm.com,서울특별시
인스코비,6490,전기 통신업,"시계,스마트그리드,도소매,소프트웨어개발",1985-01-17,12월,"유인수, 구자갑 (각자 대표이사)",http://www.inscobee.com,서울특별시
일성신약,3120,의약품 제조업,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매",1985-01-14,12월,"윤석근, 윤종욱",http://www.ilsung-ph.co.kr,서울특별시
현대건설,720,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",1984-12-22,12월,박동욱,http://www.hdec.kr,서울특별시
TCC스틸,2710,1차 철강 제조업,"석도강판,표면처리강판 제조,판매",1984-12-21,12월,"손봉락, 조석희, 손기영 (각자대표)",http://www.tccsteel.com,경상북도
에이프로젠제약,3060,의약품 제조업,"의약품(항생제,영양수액제,드링크제,철결핍성빈혈예방치료제,경옥동충하초) 제조,판매",1984-10-19,12월,김정출,http://www.aprogen-pharm.com,서울특별시
F&F,7700,봉제의복 제조업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,김창수,http://www.fnf.co.kr,서울특별시
아남전자,8700,영상 및 음향기기 제조업,"칼라TV,오디오,비디오 제조,도매",1984-08-11,12월,김태수,http://www.aname.co.kr,서울특별시
현대미포조선,10620,선박 및 보트 건조업,"선박수리,선박개조,선박신조",1983-12-20,12월,신현대,http://www.hmd.co.kr,울산광역시
GS건설,6360,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시
삼아알미늄,6110,1차 비철금속 제조업,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출",1980-12-05,12월,"한남희,하상용",http://www.sama-al.com,경기도
한국전자홀딩스,6200,기타 금융업,"시장조사,경영컨설팅",1979-11-30,12월,박 명 덕,http://www.kecholdings.co.kr,서울특별시
삼성SDI,6400,일차전지 및 축전지 제조업,"칼라브라운관,PDP,평판표시관,모니터,휴대용 디스플레이,폴리머전지(2차전지),초박형브라운관,전계발광소자 제조,판매",1979-02-27,12월,전영현,http://www.samsungsdi.com,경기도
삼성전기,9150,전자부품 제조업,"영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일",1979-02-27,12월,경계현,http://www.sem.samsung.co.kr,경기도
고려개발,4200,토목 건설업,"도로건설공사,토목공사,건축공사",1978-10-30,12월,곽수윤,http://www.kdc.co.kr,경기도
동부건설,5960,토목 건설업,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",1978-10-30,12월,허상희,http://dbcon.dongbu.co.kr,서울특별시
케이씨티시,9070,도로 화물 운송업,"화물자동차운송,항만하역,창고보관,컨테이너조작,중량물해상운송",1978-09-29,12월,이준환,http://www.kctc.co.kr,서울특별시
코오롱글로벌,3070,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",1978-09-15,12월,윤창운,http://www.kolonglobal.com,경기도
빙그레,5180,낙농제품 및 식용빙과류 제조업,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",1978-08-31,12월,전창원,http://www.bing.co.kr,경기도
녹십자홀딩스,5250,회사 본부 및 경영 컨설팅 서비스업,"알부민,유로키나제,간염백신,유행성출혈열백신 제조",1978-08-28,12월,"허일섭, 허용준",http://www.greencross.com,경기도
신한,5450,건물 건설업,"건축공사,토목공사,전기공사,통신공사,주택건설,기계설비공사,철골공사/철구조물 제조",1978-07-28,12월,김춘환,http://www.seco.co.kr,경기도
조선내화,480,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",1978-06-30,12월,이금옥,http://www.chosunref.co.kr,전라남도
현대약품,4310,의약품 제조업,"타코실, 마이녹실, 테놀민, 미에로화이바 등",1978-06-28,11월,"김영학, 이상준",http://www.hyundaipharm.co.kr,충청남도
남양유업,3920,낙농제품 및 식용빙과류 제조업,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",1978-06-24,12월,이광범,http://www.namyangi.com,서울특별시
남선알미늄,8350,1차 비철금속 제조업,알미늄샷시 제조/환경사업,1978-05-22,12월,"장규한,이상일",http://www.namsun.co.kr,대구광역시
한국화장품제조,3350,기타 화학제품 제조업,"화장품(OEM,ODM)",1978-02-06,12월,"임충헌, 이용준",http://www.hkcosm.com,서울특별시
삼호,1880,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.samho.co.kr,인천광역시
현대종합상사,11760,상품 종합 도매업,"자동차,철강,기계,선박,플랜트,컴퓨터,전자제품 수출,수출입대행/자원(탄광,유전) 개발",1977-12-01,12월,정몽혁,http://www.hyundaicorp.co.kr,서울특별시
LS,6260,기타 금융업,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",1977-06-30,12월,이광우,http://www.lsholdings.co.kr,서울특별시
SK네트웍스,1740,기타 전문 도매업,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업",1977-06-30,12월,"최신원, 박상규 (각자 대표이사)",http://www.sknetworks.co.kr,서울특별시
경농,2100,"비료, 농약 및 살균, 살충제 제조업","완제농약(잡초약,살충제,살균제) 제조",1977-06-30,12월,이병만,http://www.knco.co.kr,서울특별시
티웨이홀딩스,4870,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,콘크리트파일,완구 제조/미니어쳐테마파크 운영",1977-06-30,12월,황정현,http://www.twayholdings.com,서울특별시
동방아그로,7590,"비료, 농약 및 살균, 살충제 제조업","농약(잡초발생전 토양처리형 밭잡초약,부메랑,주움,그라목손) 제조,도매",1977-06-29,12월,"염병만, 염병진",http://www.dongbangagro.co.kr,서울특별시
송원산업,4430,기타 화학제품 제조업,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조",1977-06-25,12월,김충식 대표이사,http://www.songwon.com,울산광역시
진흥기업,2780,토목 건설업,"아파트건설,토목공사,건축공사,국내도급공사",1977-06-25,12월,"노재봉, 이주익",http://www.chinhung.co.kr,인천광역시
한국석유공업,4090,기타 비금속 광물제품 제조업,"석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대",1977-06-25,12월,"강승모, 김병집(각자대표이사)",http://www.koreapetroleum.com,서울특별시
천일고속,650,육상 여객 운송업,"고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대",1977-06-23,12월,박도현,http://www.chunilexpress.com,부산광역시
대원강업,430,자동차 신품 부품 제조업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",1977-06-22,12월,"허재철, 허승호, 유병우",http://www.dwku.com,충청남도
만호제강,1080,1차 철강 제조업,"와이어로프,합성섬유로프,특수강선 제조,수출,임대",1977-06-18,06월,김상환,http://www.manhorope.com,부산광역시
조광피혁,4700,"가죽, 가방 및 유사제품 제조업","가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매",1977-05-27,12월,이연석,http://www.chokwang.co.kr,충청북도
세방,4360,도로 화물 운송업,"도로운송,항만하역,창고,지게차 임대",1977-05-19,12월,최종일,http://www.sebang.com,부산광역시
동양철관,8970,1차 철강 제조업,"수도용 도복장 강관,주물(강관말뚝),가스관 제조/아파트건설",1977-03-05,12월,한흥수,http://www.dysp.co.kr,충청남도
대유에이텍,2880,자동차 신품 부품 제조업,자동차부품(자동차용 시트)제조,1977-02-18,12월,권의경,http://www.dayouat.co.kr,광주광역시
남광토건,1260,토목 건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",1976-12-28,12월,김근영,http://www.namkwang.co.kr,경기도
삼영전자공업,5680,전자부품 제조업,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매",1976-12-28,12월,"변동준, 김대호 (각자 대표이사)",http://www.samyoung.co.kr,경기도
신영와코루,5800,봉제의복 제조업,"여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조",1976-12-28,12월,"이의평, 이성원",http://www.shinyoungwacoal.co.kr/,서울특별시
오리엔트바이오,2630,의약품 제조업,의약품 제조,1976-12-28,03월,장재진,http://www.orient.co.kr,경기도
조비,1550,"비료, 농약 및 살균, 살충제 제조업","복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역",1976-12-28,12월,"이병만,이용진",http://www.chobi.co.kr,서울특별시
한국공항,5430,기타 운송관련 서비스업,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업",1976-12-28,12월,유종석,http://www.kas.co.kr,서울특별시
조광페인트,4910,기타 화학제품 제조업,"도료(우레탄,에나멜,락카,특수도료) 제조,도매",1976-12-27,12월,양성아,http://www.chokwangpaint.co.kr,부산광역시
삼천리,4690,연료용 가스 제조 및 배관공급업,도시가스 공급/부동산 임대,1976-12-23,12월,"이찬의, 유재권",http://www.samchully.co.kr,서울특별시
성보화학,3080,"비료, 농약 및 살균, 살충제 제조업","완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매",1976-12-23,12월,윤정선,http://www.sbcc.kr,경기도
조흥,2600,기타 식품 제조업,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매",1976-12-23,12월,유익제,http://www.choheung.co.kr,경기도
금양,1570,기초 화학물질 제조업,"발포제,사카린,OPTSA,베나졸,TCA 제조",1976-12-17,12월,류광지,http://www.kyc.co.kr,부산광역시
사조대림,3960,수산물 가공 및 저장 처리업,"게맛살,어육연제품,식용류,배합사료 제조",1976-09-16,12월,김상훈,http://dr.sajo.co.kr,서울특별시
남영비비안,2070,봉제의복 제조업,"여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대",1976-07-13,12월,이규화,http://www.namyeung.co.kr,서울특별시
S&T중공업,3570,자동차 신품 부품 제조업,"자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조",1976-07-08,12월,권정원,http://www.hisntd.com,경상남도
한신공영,4960,건물 건설업,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",1976-07-07,12월,"태기전,최문규",http://www.hanshinc.com,경기도
